Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)"
JSWENERGY,JSW Energy Limited,3961201.346378
MUTHOOTFIN,Muthoot Finance Limited,3933982.777152
AUBANK,AU Small Finance Bank Limited,3861418.8888959996
INDUSTOWER,Indus Towers Limited,3853759.8385
BALKRISIND,Balkrishna Industries Limited,3772488.304255
UBL,United Breweries Limited,3766319.1449305
ABCAPITAL,Aditya Birla Capital Limited,3712829.8514909996
TATAELXSI,Tata Elxsi Limited,3711115.33604
DALBHARAT,Dalmia Bharat Limited,3690082.2053825
HDFCAMC,HDFC Asset Management Company Limited,3644974.012206
INDIANB,Indian Bank,3593720.4065845003
ASTRAL,Astral Limited,3591336.71764
BHARATFORG,Bharat Forge Limited,3587127.615244
LTTS,L&T Technology Services Limited,3567801.9108059998
MRF,MRF Limited,3564561.939496
TATACOMM,Tata Communications Limited,3549675
NYKAA,FSN E-Commerce Ventures Limited,3543169.5275375
CONCOR,Container Corporation of India Limited,3535430.45427
PERSISTENT,Persistent Systems Limited,3522810.375
PATANJALI,Patanjali Foods Limited,3508454.1152759995
IRFC,Indian Railway Finance Corporation Limited,3476222.596
LINDEINDIA,Linde India Limited,3436826.2605655
IDFCFIRSTB,IDFC First Bank Limited,3435018.219156
PETRONET,Petronet LNG Limited,3432750.201388
SOLARINDS,Solar Industries India Limited,3431835.335875
SAIL,Steel Authority of India Limited,3415944.4140029997
MPHASIS,MphasiS Limited,3383193.7721725
HINDPETRO,Hindustan Petroleum Corporation Limited,3359122.48096
APLAPOLLO,APL Apollo Tubes Limited,3342806.9665490002
FLUOROCHEM,Gujarat Fluorochemicals Limited,3317689.7
NMDC,NMDC Limited,3269090.825675
HONAUT,Honeywell Automation India Limited,3217005.8265959998
SUPREMEIND,Supreme Industries Limited,3192883.890885
GUJGASLTD,Gujarat Gas Limited,3163841.0145
BANDHANBNK,Bandhan Bank Limited,3153212.4096
ACC,ACC Limited,3130789.2487359997
OBEROIRLTY,Oberoi Realty Limited,3063712.448962
BANKINDIA,Bank of India,3063312.071255
RECLTD,REC Limited,3040057.108
AUROPHARMA,Aurobindo Pharma Limited,3035747.9332290003
STARHEALTH,Star Health and Allied Insurance Company Limited,3014833.694684
IGL,Indraprastha Gas Limited,3000903.4296
LUPIN,Lupin Limited,2950098.97614
UCOBANK,UCO Bank,2905297.836768
JUBLFOOD,Jubilant Foodworks Limited,2903978.7252
POLICYBZR,PB Fintech Limited,2875793.3537609996
GODREJPROP,Godrej Properties Limited,2866540.098362
M&MFIN,Mahindra & Mahindra Financial Services Limited,2862105.05968
IDEA,Vodafone Idea Limited,2823421.97389
OFSS,Oracle Financial Services Software Limited,2819710.219725
FEDERALBNK,The Federal Bank  Limited,2801027.339397
MANYAVAR,Vedant Fashions Limited,2765607.751385
UNOMINDA,UNO Minda Limited,2755449.6255
AIAENG,AIA Engineering Limited,2738214.66147
THERMAX,Thermax Limited,2731896.4901
OIL,Oil India Limited,2728905.670701
VOLTAS,Voltas Limited,2707464.38505
3MINDIA,3M India Limited,2586893.777195
COROMANDEL,Coromandel International Limited,2585080.7180825
SUNDARMFIN,Sundaram Finance Limited,2554833.2607
KPITTECH,KPIT Technologies Limited,2536104.3678079997
DEEPAKNTR,Deepak Nitrite Limited,2513178.1734660002
ESCORTS,Escorts Kubota Limited,2495062.791942
BIOCON,Biocon Limited,2477438.1
TATACHEM,Tata Chemicals Limited,2477377.425411
TORNTPOWER,Torrent Power Limited,2453068.065536
GMRINFRA,GMR Airports Infrastructure Limited,2447575.8090125
BHEL,Bharat Heavy Electricals Limited,2439185.3801775
SONACOMS,Sona BLW Precision Forgings Limited,2420647.94657
DELHIVERY,Delhivery Limited,2416783.7916585
SYNGENE,Syngene International Limited,2386528.1025
CRISIL,CRISIL Limited,2352052.266564
GICRE,General Insurance Corporation of India,2344755.6
COFORGE,Coforge Limited,2329509.098686
PHOENIXLTD,The Phoenix Mills Limited,2323554.6443129997
JKCEMENT,JK Cement Limited,2259091.854487
POONAWALLA,Poonawalla Fincorp Limited,2246206.853475
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,2244206.435415
MFSL,Max Financial Services Limited,2191478.79585
METROBRAND,Metro Brands Limited,2159328.0406764997
MSUMI,Motherson Sumi Wiring India Limited,2133184.57719
SUMICHEM,Sumitomo Chemical India Limited,2126859.981096
RELAXO,Relaxo Footwears Limited,2118236.188437
NAVINFLUOR,Navin Fluorine International Limited,2116258.03519
SKFINDIA,SKF India Limited,2103956.1103725
CENTRALBK,Central Bank of India,2092106.403112
GLAND,Gland Pharma Limited,2088683.7531975
KANSAINER,Kansai Nerolac Paints Limited,2084541.47696
GRINDWELL,Grindwell Norton Limited,2079764.48
TIMKEN,Timken India Limited,2072614.606003
IPCALAB,IPCA Laboratories Limited,2055892.130563
SUNDRMFAST,Sundram Fasteners Limited,2055055.4586
ATUL,Atul Limited,2053876.9673275
ZEEL,Zee Entertainment Enterprises Limited,2038702.46895
L&TFH,L&T Finance Holdings Limited,2034570.1514985
ABFRL,Aditya Birla Fashion and Retail Limited,2033642.0817945001
APOLLOTYRE,Apollo Tyres Limited,2031687.926254
KPRMILL,K.P.R. Mill Limited,1976026.734
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,1974307.3671839999
FORTIS,Fortis Healthcare Limited,1962136.226652
AARTIIND,Aarti Industries Limited,1878314.6573525
HATSUN,Hatsun Agro Product Limited,1876431.4096320001
CARBORUNIV,Carborundum Universal Limited,1871931.7710179999
CROMPTON,Crompton Greaves Consumer Electricals Limited,1863439.56307
VINATIORGA,Vinati Organics Limited,1858710.5922
IIFL,IIFL Finance Limited,1855992.6307589998
BATAINDIA,Bata India Limited,1822970.36359
BDL,Bharat Dynamics Limited,1812101.71875
LICHSGFIN,LIC Housing Finance Limited,1808332.1125
RAJESHEXPO,Rajesh Exports Limited,1801381.0098589999
RAMCOCEM,The Ramco Cements Limited,1787906.29327
ENDURANCE,Endurance Technologies Limited,1746540.2521920002
DEVYANI,Devyani International Limited,1742976.6332770002
PSB,Punjab & Sind Bank,1738502.2236555
DIXON,Dixon Technologies (India) Limited,1704195.001145
KAJARIACER,Kajaria Ceramics Limited,1678788.77465
WHIRLPOOL,Whirlpool of India Limited,1668428.000415
MAHABANK,Bank of Maharashtra,1665797.8706325
SUNTV,Sun TV Network Limited,1638800.89227
PEL,Piramal Enterprises Limited,1618975.20895
PRESTIGE,Prestige Estates Projects Limited,1616274.188928
NIACL,The New India Assurance Company Limited,1603504
RADICO,Radico Khaitan Limited,1596866.79669
PFIZER,Pfizer Limited,1586142.4900379998
NH,Narayana Hrudayalaya Ltd.,1582059.164166
EMAMILTD,Emami Limited,1581743.325
LAURUSLABS,Laurus Labs Limited,1577977.8847875
FIVESTAR,Five-Star Business Finance Limited,1575125.24472
AJANTPHARM,Ajanta Pharma Limited,1548776.87364
INDIAMART,Indiamart Intermesh Limited,1536775.078365
360ONE,360 ONE WAM LIMITED,1533603.0687679998
KEI,KEI Industries Limited,1532053.8480870002
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,1529251.881384
LALPATHLAB,Dr. Lal Path Labs Ltd.,1524048.159437
JSL,Jindal Stainless Limited,1522885.8662639998
IRB,IRB Infrastructure Developers Limited,1518808.5
EXIDEIND,Exide Industries Limited,1512575
PVR,PVR Limited,1502596.16676
GSPL,Gujarat State Petronet Limited,1495160.1464
BLUEDART,Blue Dart Express Limited,1474204.6754529998
NATIONALUM,National Aluminium Company Limited,1439919.3210079998
RVNL,Rail Vikas Nigam Limited,1430323.7886
CREDITACC,CREDITACCESS GRAMEEN LIMITED,1429656.38816
TRIDENT,Trident Limited,1424319.609765
POWERINDIA,Hitachi Energy India Limited,1416988.92195
MEDANTA,Global Health Limited,1413200.2356989998
GILLETTE,Gillette India Limited,1406410.5509370002
RATNAMANI,Ratnamani Metals & Tubes Limited,1389118.302
